title,doi,year,itemtype,isbn,topics,Authorinfo ->,ut_authors,ut_groups,is_eemcs?,is_ee?,is_tcs?,ut_corresponding_author,all_authors,Openaccessinfo ->,is_openaccess,openaccess_type,found_as_green,present_in_pure,license,URLs ->,primary_link,pdf_link_primary,best_oa_link,pdf_link_best_oa,other_oa_links,openalex_url,pure_page_link,pure_file_link,scopus_link,Journalinfo ->,journal,journal_issn,journal_e_issn,journal_publisher,volume,issue,pages,pagescount,MUS links ->,mus_paper_details,mus_api_url_paper,mus_api_url_pure_entry,mus_api_url_pure_report_details
Mobile Augmented Games in Playable Cities: Humorous Interaction with Pokémon Go,https://doi.org/10.1007/978-3-319-58697-7_43,2017,book-chapter,978-3-319-58696-0,,,Anton Nijholt,HMI,True,False,True,,Anton Nijholt | Marvin Andujar | Juan E. Gilbert,,False,closed,False,True,,,https://doi.org/10.1007/978-3-319-58697-7_43,,,,,https://openalex.org/W2615433244,https://research.utwente.nl/en/publications/8bdb50e4-e34a-424a-94a8-79148c1bb212,https://ris.utwente.nl/ws/files/24799150/Mobile_Augmented_Games.pdf,http://www.scopus.com/inward/record.url?scp=85025131544&partnerID=8YFLogxK,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,575-586,12,,https://openalex.samuelmok.cc/paper/4098,https://openalex.samuelmok.cc/api/paper/4098,https://openalex.samuelmok.cc/api/pureentry/104004,
Flow-Based Detection of IPv6-specific Network Layer Attacks,https://doi.org/10.1007/978-3-319-60774-0_11,2017,book-chapter,978-3-319-60773-3,Network Intrusion Detection and Defense Mechanisms | Wireless Mobility and Network Handoff Management | Characterization and Detection of Android Malware | Machine Learning for Internet Traffic Classification | Algorithms and Architectures for Packet Classification,,Pieter-Tjerk de Boer,DACS,True,True,True,,Pieter-Tjerk de Boer | Ricardo de O. Schmidt | Luuk Hendriks | Aiko Pras | Petr Velan,,True,hybrid,True,True,cc-by,,https://doi.org/10.1007/978-3-319-60774-0_11,https://link.springer.com/content/pdf/10.1007%2F978-3-319-60774-0_11.pdf,https://doi.org/10.1007/978-3-319-60774-0_11,https://link.springer.com/content/pdf/10.1007%2F978-3-319-60774-0_11.pdf,https://inria.hal.science/hal-01806050 | https://inria.hal.science/hal-01806050/document | https://hal.inria.fr/hal-01806050 | https://hal.inria.fr/hal-01806050/document | https://hal.inria.fr/hal-01806050/file/452969_1_En_11_Chapter.pdf | https://research.utwente.nl/en/publications/2fd77bd5-7078-4ede-96fb-7a41a65042d3 | https://ris.utwente.nl/ws/files/27678567/Hendriks2017flow_based.pdf | https://is.muni.cz/repo/1385934 | https://is.muni.cz/publication/1385934/flow-based-detection-of-ipv6-specific-network-layer-attacks-paper.pdf,https://openalex.org/W2625204818,https://research.utwente.nl/en/publications/2fd77bd5-7078-4ede-96fb-7a41a65042d3,https://ris.utwente.nl/ws/files/27678567/Hendriks2017flow_based.pdf,http://www.scopus.com/inward/record.url?scp=85025133530&partnerID=8YFLogxK,,,,,,,,137-142,6,,https://openalex.samuelmok.cc/paper/4121,https://openalex.samuelmok.cc/api/paper/4121,https://openalex.samuelmok.cc/api/pureentry/104058,https://openalex.samuelmok.cc/api/pilotpure/13542
Evaluation of Geocast Routing Trees on Random and Actual Networks,https://doi.org/10.1007/978-3-319-61382-6_11,2017,book-chapter,978-3-319-61381-9,Ad Hoc Wireless Networks Research | Delay-Tolerant Networking in Mobile Ad Hoc Networks | Software-Defined Networking and Network Virtualization | Content-Centric Networking for Information Delivery | End-to-End Congestion Control in Networks,,Geert Heijenk | Berend Jan Meijerink,DACS,True,True,True,Berend Jan Meijerink,Mitra Baratchi | Geert Heijenk | Berend Jan Meijerink,,True,bronze,False,True,,,https://doi.org/10.1007/978-3-319-61382-6_11,,https://inria.hal.science/hal-01675438,https://inria.hal.science/hal-01675438/document,,https://openalex.org/W2624822868,https://research.utwente.nl/en/publications/369bf7a5-ccd9-491c-a8fc-3480becb6a74,,http://www.scopus.com/inward/record.url?scp=85021716548&partnerID=8YFLogxK,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,127-142,16,,https://openalex.samuelmok.cc/paper/4123,https://openalex.samuelmok.cc/api/paper/4123,https://openalex.samuelmok.cc/api/pureentry/103332,https://openalex.samuelmok.cc/api/pilotpure/13778
Model-Based Testing of Probabilistic Systems with Stochastic Time,https://doi.org/10.1007/978-3-319-61467-0_5,2017,book-chapter,978-3-319-61466-3,Automated Software Testing Techniques | Formal Methods in Software Verification and Control | Software Reliability Assessment and Prediction,,Marcus Gerhold | Mariëlle Stoelinga,FMT,True,False,True,Mariëlle Stoelinga,Marcus Gerhold | Mariëlle Stoelinga,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-61467-0_5,,https://ris.utwente.nl/ws/files/27662412/testing.pdf,https://ris.utwente.nl/ws/files/27662412/testing.pdf,,https://openalex.org/W2626293886,https://research.utwente.nl/en/publications/f34224e6-3f6e-4a47-9202-03000ab8f0f4,https://ris.utwente.nl/ws/files/27662412/testing.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,77-97,21,,https://openalex.samuelmok.cc/paper/4124,https://openalex.samuelmok.cc/api/paper/4124,https://openalex.samuelmok.cc/api/pureentry/101776,
Testing Divergent Transition Systems,https://doi.org/10.1007/978-3-319-63121-9_17,2017,book-chapter,978-3-319-63120-2,Formal Methods in Software Verification and Control | Automated Software Testing Techniques | Software Reliability Assessment and Prediction | Active Learning in Machine Learning Research | Very Large Scale Integration Testing,,Ed Brinksma | Mariëlle Stoelinga | Mark Timmer,FMT,True,False,True,Mark Timmer,Ed Brinksma | Mariëlle Stoelinga | Mark Timmer,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-63121-9_17,,https://research.utwente.nl/en/publications/125daebb-d8f7-4104-91de-8099e5b33f74,https://ris.utwente.nl/ws/files/18407800/report.pdf,https://ris.utwente.nl/ws/files/21279801/10.1007_978_3_319_63121_9_17.pdf,https://openalex.org/W2737984569,https://research.utwente.nl/en/publications/125daebb-d8f7-4104-91de-8099e5b33f74,https://ris.utwente.nl/ws/files/18407800/report.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,339-366,28,,https://openalex.samuelmok.cc/paper/4132,https://openalex.samuelmok.cc/api/paper/4132,https://openalex.samuelmok.cc/api/pureentry/101499,
Improving the Timed Automata Approach to Biological Pathway Dynamics,https://doi.org/10.1007/978-3-319-63121-9_5,2017,book-chapter,978-3-319-63120-2,Stochasticity in Gene Regulatory Networks | Formal Methods in Software Verification and Control | Metabolic Engineering and Synthetic Biology | DNA-based Computing and Data Storage | Mass Spectrometry Techniques with Proteins,,Rom Langerak | Janine N. Post | Stefano Schivo | Jaco van de Pol,FMT,True,False,True,Rom Langerak,Rom Langerak | Janine N. Post | Stefano Schivo | Jaco van de Pol,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-63121-9_5,,https://research.utwente.nl/en/publications/f4d0afa3-7e60-4acf-a013-5dd454f6ea76,https://research.utwente.nl/files/15092749/KimFest_finalversion.pdf,https://ris.utwente.nl/ws/files/15092600/10.1007_978_3_319_63121_9_5.pdf | https://ris.utwente.nl/ws/files/15092749/KimFest_finalversion.pdf,https://openalex.org/W2738670661,https://research.utwente.nl/en/publications/f4d0afa3-7e60-4acf-a013-5dd454f6ea76,https://ris.utwente.nl/ws/files/15092749/KimFest_finalversion.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,96-111,16,,https://openalex.samuelmok.cc/paper/4133,https://openalex.samuelmok.cc/api/paper/4133,https://openalex.samuelmok.cc/api/pureentry/101321,
Enhancing User Comfort in Demand Response Solutions for Water Heaters: User-Centric Hot Water Management,https://doi.org/10.1007/978-3-319-63712-9_3,2017,book-chapter,,Demand Response in Smart Grids | Energy Efficiency in Manufacturing and Industry Sector | Building Energy Efficiency and Thermal Comfort Optimization | Design and Management of Water Distribution Networks | Control and Synchronization in Microgrid Systems,,Paul J.M. Havinga,PS,True,False,True,,A. M. Belov | Paul J.M. Havinga | Nirvana Meratnia | Alexandr Vasenev,,False,closed,False,False,,,https://doi.org/10.1007/978-3-319-63712-9_3,,,,,https://openalex.org/W2744618614,,,,,Communications in computer and information science,1865-0929,1865-0937,,,,49-74,26,,https://openalex.samuelmok.cc/paper/4142,https://openalex.samuelmok.cc/api/paper/4142,,
Operations Research for Occupancy Modeling at Hospital Wards and Its Integration into Practice,https://doi.org/10.1007/978-3-319-65455-3_5,2017,book-chapter,978-3-319-65453-9,Operating Room Planning and Scheduling in Healthcare | Impact of Hospital Handoffs on Patient Care | Theory of Constraints in Operations Management | Improving Patient Safety in Healthcare Settings | Economics of Health Care Systems and Policies,,A. J. Schneider,HMI,True,False,True,,A. J. Schneider | N.M. van de Vrugt | Maartje E. Zonderland | David A. Stanford,,False,closed,False,True,,,https://doi.org/10.1007/978-3-319-65455-3_5,,,,,https://openalex.org/W2771932861,https://research.utwente.nl/en/publications/4c25ced4-899f-42c9-8507-de66dec9973a,https://ris.utwente.nl/ws/files/21729050/operations.pdf,http://www.scopus.com/inward/record.url?scp=85037718511&partnerID=8YFLogxK,,International series in management science/operations research,0884-8289,2214-7934,,,,101-137,37,,https://openalex.samuelmok.cc/paper/4152,https://openalex.samuelmok.cc/api/paper/4152,https://openalex.samuelmok.cc/api/pureentry/99454,
Rare Event Simulation for Dynamic Fault Trees,https://doi.org/10.1007/978-3-319-66266-4_2,2017,book-chapter,978-3-319-66265-7,Reliability Engineering and Maintenance Optimization | Software Reliability Assessment and Prediction | Modeling Risk in Insurance and Finance,,Pieter-Tjerk de Boer | Mariëlle Stoelinga,DACS | FMT,True,True,True,,Pieter-Tjerk de Boer | Daniël Reijsbergen | Enno Jozef Johannes Ruijters | Mariëlle Stoelinga,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-66266-4_2,,https://research.utwente.nl/en/publications/7ad58f43-59f7-469d-b14d-7aa22116ef0e,https://ris.utwente.nl/ws/files/94249633/manuscript.pdf,https://research.utwente.nl/en/publications/rare-event-simulation-for-dynamic-fault-trees(2f6c9cf1-4203-459a-b8d3-49469372b77d).html | https://ris.utwente.nl/ws/files/15557708/SAFECOMP2017.pdf,https://openalex.org/W2606325319,https://research.utwente.nl/en/publications/2f6c9cf1-4203-459a-b8d3-49469372b77d,https://ris.utwente.nl/ws/files/15557708/SAFECOMP2017.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,20-35,16,,https://openalex.samuelmok.cc/paper/4158,https://openalex.samuelmok.cc/api/paper/4158,https://openalex.samuelmok.cc/api/pureentry/101323,https://openalex.samuelmok.cc/api/pilotpure/13789
The VerCors Tool Set: Verification of Parallel and Concurrent Software,https://doi.org/10.1007/978-3-319-66845-1_7,2017,book-chapter,978-3-319-66844-4,Parallel Computing and Performance Optimization | Program Analysis and Verification Techniques | Distributed Fault Tolerance and Consistency in Systems | Language-based Information Flow Security | Formal Methods in Software Verification and Control,,Marieke Huisman,FMT,True,False,True,,Stefan Blom | Saeed Darabi | Marieke Huisman | Wytse Oortwijn,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-66845-1_7,,https://ris.utwente.nl/ws/files/28122643/vercors.pdf,https://ris.utwente.nl/ws/files/28122643/vercors.pdf,,https://openalex.org/W2746792245,https://research.utwente.nl/en/publications/11861b57-3b20-4938-895b-cc26805d90e4,https://ris.utwente.nl/ws/files/28122643/vercors.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,102-110,9,,https://openalex.samuelmok.cc/paper/4163,https://openalex.samuelmok.cc/api/paper/4163,https://openalex.samuelmok.cc/api/pureentry/104070,
Inferring the Social-Connectedness of Locations from Mobility Data,https://doi.org/10.1007/978-3-319-67256-4_35,2017,book-chapter,978-3-319-67255-7,Understanding Human Mobility Patterns | Statistical Mechanics of Complex Networks | Delay-Tolerant Networking in Mobile Ad Hoc Networks | Digital Epidemiology and Disease Surveillance | Internet Users' Information Privacy Concerns,,Geert Heijenk | Maarten van Steen,DACS,True,True,True,,Mitra Baratchi | Tristan Brugman | Geert Heijenk | Maarten van Steen,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-67256-4_35,,https://ris.utwente.nl/ws/files/21239887/10.1007_978_3_319_67256_4_35.pdf,https://ris.utwente.nl/ws/files/21239887/10.1007_978_3_319_67256_4_35.pdf,,https://openalex.org/W2752029064,https://research.utwente.nl/en/publications/ea2afdcb-7917-47af-9fe9-01a9a8e82b7d,https://ris.utwente.nl/ws/files/21239887/10.1007_978_3_319_67256_4_35.pdf,http://www.scopus.com/inward/record.url?scp=85029504233&partnerID=8YFLogxK,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,443-457,15,,https://openalex.samuelmok.cc/paper/4165,https://openalex.samuelmok.cc/api/paper/4165,https://openalex.samuelmok.cc/api/pureentry/103353,https://openalex.samuelmok.cc/api/pilotpure/13771
A Demonstration of the ASAP Realizer-Unity3D Bridge for Virtual and Mixed Reality Applications,https://doi.org/10.1007/978-3-319-67401-8_26,2017,book-chapter,9783319674001,Motion Synthesis and Control Techniques | Social Interaction with Robots | Dialogue Act Modeling for Spoken Language Systems | Human Action Recognition and Pose Estimation | Game Artificial Intelligence Research,,Jan Kolkmeier | Dennis Reidsma,HMI,True,False,True,Jan Kolkmeier,Merijn Bruijnes | Jan Kolkmeier | Dennis Reidsma,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-67401-8_26,,https://ris.utwente.nl/ws/files/21256139/demonstration.pdf,https://ris.utwente.nl/ws/files/21256139/demonstration.pdf,,https://openalex.org/W2748787360,https://research.utwente.nl/en/publications/297156dd-c8da-44dc-a447-c62bc31b3d81,https://ris.utwente.nl/ws/files/21256139/demonstration.pdf,http://www.scopus.com/inward/record.url?scp=85028990591&partnerID=8YFLogxK,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,223-226,4,,https://openalex.samuelmok.cc/paper/4166,https://openalex.samuelmok.cc/api/paper/4166,https://openalex.samuelmok.cc/api/pureentry/103750,
An ASAP Realizer-Unity3D Bridge for Virtual and Mixed Reality Applications,https://doi.org/10.1007/978-3-319-67401-8_27,2017,book-chapter,978-3-319-67400-1,Social Interaction with Robots | User Experience and Design Research in HCI | Motion Synthesis and Control Techniques | Dialogue Act Modeling for Spoken Language Systems | Game Artificial Intelligence Research,,Dirk Heylen | Jan Kolkmeier | Dennis Reidsma,HMI,True,False,True,,Merijn Bruijnes | Dirk Heylen | Jan Kolkmeier | Dennis Reidsma,,False,closed,False,True,,,https://doi.org/10.1007/978-3-319-67401-8_27,,,,,https://openalex.org/W2746171930,https://research.utwente.nl/en/publications/e83d9a11-e2fe-45a5-a083-bf881232a0a9,https://ris.utwente.nl/ws/files/15768858/978_3_319_67401_8_27.pdf,,,,,,,,,227-230,4,,https://openalex.samuelmok.cc/paper/4167,https://openalex.samuelmok.cc/api/paper/4167,https://openalex.samuelmok.cc/api/pureentry/101284,
Moral Conflicts in VR: Addressing Grade Disputes with a Virtual Trainer,https://doi.org/10.1007/978-3-319-67401-8_28,2017,book-chapter,978-3-319-67400-1,Ethical Decision Making in Organizations | Importance of Cognitive Errors in Diagnosis and Strategies | Interpersonal Dynamics in Education Settings | Impact of Legal Education on Society and Professionals | Research Misconduct and Academic Integrity,,Dirk Heylen | Jan Kolkmeier,HMI,True,False,True,Jan Kolkmeier,Dirk Heylen | Jan Kolkmeier | Minha Lee,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-67401-8_28,,https://ris.utwente.nl/ws/files/102034418/Kolkmeier2017_Chapter_MoralConflictsInVRAddressingGr.pdf,https://ris.utwente.nl/ws/files/102034418/Kolkmeier2017_Chapter_MoralConflictsInVRAddressingGr.pdf,,https://openalex.org/W2748135912,https://research.utwente.nl/en/publications/a9e6c050-0de8-46b1-bdc8-cb1d6aff4fb3,https://ris.utwente.nl/ws/files/102034418/Kolkmeier2017_Chapter_MoralConflictsInVRAddressingGr.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,231-234,4,,https://openalex.samuelmok.cc/paper/4168,https://openalex.samuelmok.cc/api/paper/4168,https://openalex.samuelmok.cc/api/pureentry/101283,
You Can Leave Your Head on,https://doi.org/10.1007/978-3-319-67401-8_33,2017,book-chapter,978-3-319-67400-1,Social Interaction with Robots | Artificial Intelligence in Service Industry | Metaphorical Representation of Time in Language and Cognition,,Meike Berkhoff | Mariët Theune,HMI,True,False,True,Mariët Theune,Meike Berkhoff | Max Bode | Jeroen Linssen | Eduard Rens | Mariët Theune | Daan Wiltenburg,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-67401-8_33,,https://research.utwente.nl/en/publications/1b194190-7a3b-48a1-908f-775b5fe9819d,https://research.utwente.nl/files/21231381/IVA2017_paper_final.pdf,,https://openalex.org/W2750936618,https://research.utwente.nl/en/publications/1b194190-7a3b-48a1-908f-775b5fe9819d,https://ris.utwente.nl/ws/files/21231381/IVA2017_paper_final.pdf,,,,,,,,,251-254,4,,https://openalex.samuelmok.cc/paper/4169,https://openalex.samuelmok.cc/api/paper/4169,https://openalex.samuelmok.cc/api/pureentry/101463,
Selecting and Expressing Communicative Functions in a SAIBA-Compliant Agent Framework,https://doi.org/10.1007/978-3-319-67401-8_8,2017,book-chapter,978-3-319-67400-1,Dialogue Act Modeling for Spoken Language Systems | Methods and Techniques for Agent-Based Modeling | Natural Language Processing | Social Interaction with Robots | Artificial Intelligence in Service Industry,,Dirk Heylen | Mariët Theune,HMI,True,False,True,,Merijn Bruijnes | Dirk Heylen | Mariët Theune | Jelte Barachia van Waterschoot | Angelo Cafaro | Catherine Pélachaud,,False,closed,False,True,,,https://doi.org/10.1007/978-3-319-67401-8_8,,,,,https://openalex.org/W2748092645,https://research.utwente.nl/en/publications/ea6a56e5-3b5e-4095-86e5-6c568f8fccd0,https://ris.utwente.nl/ws/files/21255708/selecting.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,73-82,10,,https://openalex.samuelmok.cc/paper/4170,https://openalex.samuelmok.cc/api/paper/4170,https://openalex.samuelmok.cc/api/pureentry/101285,
Using Oblivious RAM in Genomic Studies,https://doi.org/10.1007/978-3-319-67816-0_3,2017,book-chapter,978-3-319-67815-3,,,Peter Andreas,SCS,True,False,True,,Peter Andreas | Nikolaos P. Karvelas | Stefan Katzenbeisser,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-67816-0_3,,https://ris.utwente.nl/ws/files/27695688/using.pdf,https://ris.utwente.nl/ws/files/27695688/using.pdf,,https://openalex.org/W2755240533,https://research.utwente.nl/en/publications/6369b9f3-a3d7-4fc6-901f-7f2acfb0d332,https://ris.utwente.nl/ws/files/27695688/using.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,35-52,18,,https://openalex.samuelmok.cc/paper/4175,https://openalex.samuelmok.cc/api/paper/4175,https://openalex.samuelmok.cc/api/pureentry/104068,
Evolution in Nanomaterio: The NASCENCE Project,https://doi.org/10.1007/978-3-319-67997-6_4,2017,book-chapter,978-3-319-67996-9,,,Hajo Broersma,FMT,True,False,True,Hajo Broersma,Hajo Broersma,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-67997-6_4,,https://research.utwente.nl/en/publications/evolution-in-nanomaterio(0a080c7c-b32a-4628-a523-7993d43f5b62).html,https://research.utwente.nl/files/27663843/Julian60_chapter_15_12_2017.pdf,https://ris.utwente.nl/ws/files/27663843/Julian60_chapter_15_12_2017.pdf,https://openalex.org/W2766988565,https://research.utwente.nl/en/publications/0a080c7c-b32a-4628-a523-7993d43f5b62,https://ris.utwente.nl/ws/files/27663843/Julian60_chapter_15_12_2017.pdf,,,"Emergence, complexity and computation",2194-7295,2194-7287,,,,87-111,25,,https://openalex.samuelmok.cc/paper/4177,https://openalex.samuelmok.cc/api/paper/4177,https://openalex.samuelmok.cc/api/pureentry/99547,
Agency Monitoring Patterns for Value Networks,https://doi.org/10.1007/978-3-319-68066-8_7,2017,book-chapter,9783319680651,Workflow Mining and Business Process Management | QoS-Aware Web Services Composition and Semantic Matching | Methods and Techniques for Agent-Based Modeling | Semantic Web and Ontology Development | Competition in Two-Sided Markets,,Faiza Allah Bukhsh,DMB,True,True,True,,Faiza Allah Bukhsh | Patrício de Alencar Silva | Jefferson da Silva Reis | Angêlica Félix de Castro,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-68066-8_7,,https://ris.utwente.nl/ws/files/84624146/AlencarSilva2017_Chapter_AgencyMonitoringPatternsForVal.pdf,https://ris.utwente.nl/ws/files/84624146/AlencarSilva2017_Chapter_AgencyMonitoringPatternsForVal.pdf,,https://openalex.org/W2764100519,https://research.utwente.nl/en/publications/7c54b453-fe40-4155-8036-3766fe1e9a25,https://ris.utwente.nl/ws/files/84624146/AlencarSilva2017_Chapter_AgencyMonitoringPatternsForVal.pdf,http://www.scopus.com/inward/record.url?scp=85032506375&partnerID=8YFLogxK,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,81-93,13,,https://openalex.samuelmok.cc/paper/4178,https://openalex.samuelmok.cc/api/paper/4178,https://openalex.samuelmok.cc/api/pureentry/104171,https://openalex.samuelmok.cc/api/pilotpure/13286
How Much Are Your Geraniums? Taking Graph Conditions Beyond First Order,https://doi.org/10.1007/978-3-319-68270-9_10,2017,book-chapter,9783319682693,Model-Driven Engineering in Software Development | Formal Methods in Software Verification and Control | Semantic Web and Ontology Development,,Arend Rensink,FMT,True,False,True,Arend Rensink,Arend Rensink,,False,closed,False,True,,,https://doi.org/10.1007/978-3-319-68270-9_10,,,,,https://openalex.org/W2758049671,https://research.utwente.nl/en/publications/2bb05cca-c82a-403c-968f-b4a9280878b7,https://ris.utwente.nl/ws/files/27664172/how_much.pdf,http://www.scopus.com/inward/record.url?scp=85032689383&partnerID=8YFLogxK,,,,,,,,191-213,23,,https://openalex.samuelmok.cc/paper/4179,https://openalex.samuelmok.cc/api/paper/4179,https://openalex.samuelmok.cc/api/pureentry/104060,
Discretization of Continuous Dynamical Systems Using UPPAAL,https://doi.org/10.1007/978-3-319-68270-9_15,2017,book-chapter,978-3-319-68269-3,Structure and Function of G Protein-Coupled Receptors | Formal Methods in Software Verification and Control | Stochasticity in Gene Regulatory Networks | Computational Methods in Drug Discovery | Protein Structure Prediction and Analysis,,Rom Langerak | Stefano Schivo,FMT,True,False,True,,Rom Langerak | Stefano Schivo,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-68270-9_15,,https://research.utwente.nl/en/publications/8e1537b8-3bff-400c-bf0a-6cf88be700e4,https://research.utwente.nl/files/17420564/FEDSCHR1FT_paper_13.pdf,,https://openalex.org/W2757013474,https://research.utwente.nl/en/publications/8e1537b8-3bff-400c-bf0a-6cf88be700e4,https://ris.utwente.nl/ws/files/17420564/FEDSCHR1FT_paper_13.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,297-315,19,,https://openalex.samuelmok.cc/paper/4182,https://openalex.samuelmok.cc/api/paper/4182,https://openalex.samuelmok.cc/api/pureentry/101064,
Boosting Fault Tree Analysis by Formal Methods,https://doi.org/10.1007/978-3-319-68270-9_19,2017,book-chapter,978-3-319-68269-3,,,Joost P. Katoen | Mariëlle Stoelinga,FMT,True,False,True,Joost P. Katoen,Joost P. Katoen | Mariëlle Stoelinga,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-68270-9_19,,https://ris.utwente.nl/ws/files/27664036/boosting.pdf,https://ris.utwente.nl/ws/files/27664036/boosting.pdf,,https://openalex.org/W2757543546,https://research.utwente.nl/en/publications/a0bb573c-4acc-4ed5-8847-39c188b760a4,https://ris.utwente.nl/ws/files/27664036/boosting.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,368-389,22,,https://openalex.samuelmok.cc/paper/4183,https://openalex.samuelmok.cc/api/paper/4183,https://openalex.samuelmok.cc/api/pureentry/100832,
How to Efficiently Build a Front-End Tool for UPPAAL: A Model-Driven Approach,https://doi.org/10.1007/978-3-319-69483-2_19,2017,book-chapter,978-3-319-69482-5,,,Arend Rensink | Stefano Schivo | Mariëlle Stoelinga,FMT,True,False,True,,Rajesh Kumar | Arend Rensink | Enno Jozef Johannes Ruijters | Stefano Schivo | Mariëlle Stoelinga | Bugra Mehmet Yildiz | Stefan Dziwok | Christopher Gerking,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-69483-2_19,,https://research.utwente.nl/en/publications/0a7f1ca2-ca55-4ddb-b8be-834b00258cd0,https://ris.utwente.nl/ws/files/27677126/Schivo2017how.pdf,,https://openalex.org/W2766194497,https://research.utwente.nl/en/publications/0a7f1ca2-ca55-4ddb-b8be-834b00258cd0,https://ris.utwente.nl/ws/files/27677126/Schivo2017how.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,319-336,18,,https://openalex.samuelmok.cc/paper/4192,https://openalex.samuelmok.cc/api/paper/4192,https://openalex.samuelmok.cc/api/pureentry/100999,
Better Automated Importance Splitting for Transient Rare Events,https://doi.org/10.1007/978-3-319-69483-2_3,2017,book-chapter,978-3-319-69482-5,Formal Methods in Software Verification and Control | Software Reliability Assessment and Prediction | Optimization Techniques in Simulation Modeling | Distributed Fault Tolerance and Consistency in Systems | Statistical Methods in Clinical Trials and Drug Development,,Arnd Hartmanns,FMT,True,False,True,Arnd Hartmanns,Carlos E. Budde | Arnd Hartmanns | Pedro R. D’Argenio,,True,green,True,True,,,https://doi.org/10.1007/978-3-319-69483-2_3,,https://ris.utwente.nl/ws/files/27676920/Budde2017better.pdf,https://ris.utwente.nl/ws/files/27676920/Budde2017better.pdf,,https://openalex.org/W2767167722,https://research.utwente.nl/en/publications/805f962b-4ccb-4e3d-91f3-7ab7c7daa944,https://ris.utwente.nl/ws/files/27676920/Budde2017better.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,42-58,17,,https://openalex.samuelmok.cc/paper/4193,https://openalex.samuelmok.cc/api/paper/4193,https://openalex.samuelmok.cc/api/pureentry/104054,
Dialogue Design for a Robot-Based Face-Mirroring Game to Engage Autistic Children with Emotional Expressions,https://doi.org/10.1007/978-3-319-70022-9_54,2017,book-chapter,978-3-319-70021-2,,,Vanessa Evers | Bob R. Schadenberg,HMI,True,False,True,,Vicky Charisi | Pauline Chevalier | Vanessa Evers | Jamy Jue Li | Bob R. Schadenberg | Eloise Ainger | Alyssa M. Alcorn | Snezana Babovic | Liz Pellicano | Sunčica Petrović,,True,green,False,True,,,https://doi.org/10.1007/978-3-319-70022-9_54,,https://discovery.ucl.ac.uk/id/eprint/10040012/,https://discovery.ucl.ac.uk/10040012/1/icsr2017_v5-submitted.pdf,https://discovery.ucl.ac.uk/id/eprint/10040012/1/icsr2017_v5-submitted.pdf,https://openalex.org/W2765680609,https://research.utwente.nl/en/publications/45d7f6e5-d5a4-4875-b5bc-dd8a4fe81bf4,https://ris.utwente.nl/ws/files/21754770/dialogue.pdf,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,546-555,10,,https://openalex.samuelmok.cc/paper/4194,https://openalex.samuelmok.cc/api/paper/4194,https://openalex.samuelmok.cc/api/pureentry/103797,
